ARRYTHMIA IS PRODUCED DUE TO…,"DEPOSITION OF AMYLOID
IN CONDUCTIVE SYSTEM","DEPOSITION OF AMYLOID
IN ATRIUM","DEPOSTION OF AMYLOID IN
VENTRICLES",NONE OF THE ABONE,A
"THE DIAGNOSIS OF AMYLOID DISEASE CAN BE MADE FROM THE FOLLOWING INVESTIGATIONS ,EXCEPT",IN VIVO CONGO RED TEST,Biopsy examination,AMES' TEST,Protein Electrophoresis,C
IN SYSTEMIC AMYLOIDOSIS WHICH BIOPSY PROVIDES THE BEST DETECTION RATE?,GINGIVA BIOPSY,RENAL BIOPSY,RECTAL BIOPSY,SKIN BIOPSY,B
WHICH IS THE LOCATION OF AMYLOID DEPOSIT?,PARENCHYMAL CELLS,"IN THE EXTRA CELLULAR
MATRIX","CELL MEMBRANES
OF BLOOD VESSELS",BOTH A AND B,D
WHICH OF THE FOLLOWING CONFIRMS THE PRESENCE OF AMYLOID?,"APPLE GREEN
BIREFRIGENCE",RED PINK COLOUR,BOTH A AND B,NONE OF THE ABOVE,A
AMYLOID DEPOSITION IN THE SPLEEN MAY HAVE FOLLOWING PATTERN?,SAGO SPLEEN,ENLARGED SPLEEN,"LARDACEOUS
SPLEEN",BOTH A AND C,D
WHICH MAY BE THE SITE FOR TUMOUR FORMING AMYLOID?,PHARYNX,TONGUE,OESOPHAGUS,NONE,B
AL PROTEIN IS PRODUCED BY,"SERUM AMYLOID
ASSOCIATED PROTEIN","IMMUNOGLOBIN
SECRETORY CELLS",BOTH A AND B,NONE OF THE ABONE,B
SAA STANDS FOR,SERUM ACTIVE AMYLOID,"SERUM AMYLOID
ASSOCIATED PROTEIN","SERUM ASSOCIATED
AMYLOID",NONE,B
IDENTIFY NON FIBRILAR PROTEIN,APOLIPOPROTEIN E,TRANSTHYRETIN,AMYLOID BETA PEPTIDE,A BETA_2 MICROGLOBULIN,A
WHICH VARIETY OF AMYLOID PROTEIN WAS ISOLATED FIRST,AL,AA,AP,A BETA,A
"ARRANGE PROPER SEQUENTIAL EVENTS IN AMYLOIDOSIS : i) POOL OF AMYLOGENIC PRECURSOR ii)
PROTEOLYSIS iii) A NIDUS FOR FIBRILOGENESIS iv) NON FIBRILAR COMPONENETS",i.) ii.) iii.) iv.),iv.) ii.) iii.) i.),i.) iii.) ii.) iv.),iv.) iii.) ii.) i.),C
WHICH COMPONENT PLAYS IMPORTANT FUNCTION IN FOLDING AND AGGREGATION OF FIBRILAR PROTEINS,AP,GAGs,AGAs,BOTH A AND B,D
WHICH OF THE FOLLOWING IS NOT INCLUDED IN LOCALISED AMYLOIDOSIS,SENILE CARDIAC,SENILE CEREBRAL,"HAEMODYLASIS
ASSOCIATED AMYLOIDOSIS",ENDOCRINE,C
HEREDOFAMILIAL AMYLOIDOSIS IS SEEN IN,PATTERN 1,PATTERN 2,MIXED,ATTR,D
PATTERN 2 OF AMYLODOSIS BASED ON CLINICAL LOCATION INVOLVES,LIVER,SPLEEN,HEART,BOTH A AND B,D
WHICH DISEASE IS ASSOCIATED WITH SENILE CEREBRAL AMYLODOSIS,"TRANSMISSIBLE
ENCEPHALOPATHY",HAEMATOMA,CARCINOMA,FLUID ACCUMULATION,A
Sago spleen is seen in,Sickle cell anaemia,Amylodosis,"Haemochromatosi
s",Aids,B
"Extracellular deposits of fibrillar proteins responsible for tissue damage and functional compromise is
seen in",diabetes,amyloidosis,hypothyroidism,Nephrotic syndrome,B
The immunity chiefly responsible for granuloma formation is,Cell mediated immunity,Humoral immunity,Both,None of the above,A
All of the following are permanent cells except,Nerve cells,Smoothmuscle cells,"Skeletal muscle
cells",Cardiac muscle cells,B
A positive Mantoux test indicates that the child,"Is suffering from
active TB","Has had BCG
vaccination
recently","Has had TB
infection",All of the above,D
Coomb's test is,An antiglobulin test,A complement fixation,Agglutination test,Neutralization test,A
Ig E is increased in infections which are,Bacterial,Allergic,Fungal,Viral,B
Immunity is life long following,Diptheria,Tetanus,Measles,Syphilis,C
The earliest Immunoglobulin synthesized by foetus is,Ig G,Ig A,Ig E,Ig M,D
Truth about BCG is,"Is produced by toxins of
Tubercullar bacilli","Is produced by repeated
subcultures",Lives life long immunity,It is a killed vaccine,B
,,,,,
Tumour containing all three germ layers is called.,Leiomyoma,"Squamous Cell
Carcinoma",Adenocarcinoma,Teratoma,D
Lack of differentiation is called,Anaplasia,Dysplasia,Metaplasia,Hyper plasia,A
Which of the following is known as the 'Guardian of the Genome',p53,Mdmz,p14,ATM,A
True statements about p53 gene are all except -,"Arrest cell cycle at G1
Phase","Product is 53 KD
Protein.","Located on Chromosome
17.","Wild/Non-mutated form is
associated with increased
risk of childhood tumours",D
Alpha-fetoprotein is detected in case of -,"Hepatocellular
Carcinoma",Colonic Cancer,Tuberculoma,Renal Cell Carcinoma,A
Malignant tumours of epitnelial origin are called -,Teratoma,Carcinomas,Sarcomas,Blastomas,B
TNM staging was developed by,AJCC,UICC,AIC,UICC,B
Benign tumours are,Encapsulated,Well cirumscribed,Both a & b,"Poorly circumscribed &
irregular.",C
Rhabdomyoma is tumour of,Blood vessels,Lymph vessels,Adipose tissue,Skeletal muscle,D
Common sites of Blood borne metastases are as follows except,Liver,Lung,Kidney,Spleen,D
Enzyme which prevents aging,Catalase,caspases,superoxide dimustase,telomerase,D
Spread of malignant cell from one site to the distant site is known as,metaplasia,dysplasia,metastasis,hyperplasia,C
The organ to which metastasis never occur is,liver,spleen,bones,brain,B
Features of benign tumours are all except,Slow growth,capsulated,Absence of metastasis,poor differentiation,D
Cytological criteria for malignant tumor includes all except,"Hyperchromati
sm",Mitotic figures,capsule,"increased nuclear
cytoplasmic ratio",C
Lipoma is which type of tumor,Benign,Malignanat,Mixed,Metaplasia,A
All the following are indicative of anaplasia except,Hyper chromatic nuclei,"Nuclear cytoplasmic
ratio 1 : 6",Large nucleoli,Pleomorphism,B
Lymphnode enlargement in proximity of cancer is due to,"Spread & growth of
cancer cells",Follicular hyperplasia,Sinus histiocytosis,All of the above,D
The criteria in staging of tumor include all except,Size of primary lesion,Degree of differentiation,"Extent of spread to
regional lymphnodes","Presence or absence of
blood borne metastases",B
Most common islet cell tumor is,Alpha cell,Beta cell,Delta cell,PP cell,B
Most common tumor of urinary bladder is,"Squamous cell
carcinoma",Adeno carcinoma,"Transistional cell
carcinoma","Transistional cell
papilloma",C
Most common tumor among women,Breast fibre adenoma,Lipoma,Rhabdo myoma,"Leiomyoma of
endometrium",D
Most common benign tumor of female breast is,Fibro adenoma,Phyllodes tumor,Intraductal papilloma,None of the above,A
,,,,,
Haemogram for Anaemia excludes,"Peripheral blood smear
examination",Hb estimation,"Estimation of
electrolytes",Red cell Indices,C
Leucocyte and Platelet count is necessary to estimate in Anaemia to rule out,"Anaemia due to
haemolysis or
Haemorrhage","Anaemia due to disorders
of R.B.C.","Anaemia due to
Malnutrition","Anaemia due to Vit.B12
deficiency",A
All are compensatory Physiologic adaptations in case of anaemia except,"Increase release of
oxygen from Hb",Increase respiratory rate,"Increase blood flow to
the tissue","Redistribution of blood
flow to vital organs",B
All are causes of Megaloblastic anaemia except,Vit- B12 deficiency,Folate deficiency,Chrohn's Disease,Protein malnutrition,D
All are causes of Proteinurea except,Nephrotic Syndrome,Nephritic Syndrome,Renal Calculi,Tubular Injury,C
All investigations are necessary to diagnose Acute Pyelonephritis except,Neutrophilic count,"Urine Microscopy for
Pus cells and cast","Culture followed by
sensitivity test","Estimation Blood uria and
Nitrate",D
Specific serum Cardiac Bio marker is,CPKMB/Troponins,LDH /5 Necloeotidase,SGOT,Allcaline Phosphatase,A
All are classical finding in lab investigation of Extrinsic type of Bronchial asthama except,Eosinophillia,Increase IgE Antibodies,"positive skin test for
allergence",Leucocytosis,D
Specific Enzyme to rule out liver cell damage in case of Viral Hepatitis,"Serum glutamic pyruvic
transaminase",Alkaline Phosphatage,LDH,SGOT,A
All are indications of Peripheral blood smear (Thick and Thin) examination excetp,Rule out type of Anamia,"Rule out Parasitic
infection",Causes of Jaundice,"Estimation of Platelete
count",C
Increase T3 And T4 with decrease TSH represents,Hypothyroidism,Hyperthyroidism,Diabetes mellitus,None of above,B
ketonuria (ketone bodies in urine) is significant of,Hyperthyroidism,"uncontrolled diabetes
mellitus",impaired renal function,renal stone,B
FNAC is contraindicated in,Bleeding disorders,enlarged lymphnodes,breast masses,palpable lung lesion,A
FNAC is indicated in,Bleeding disorders,enlarged lymphnodes,Pancretitis,obstructive Jaundice,B
serum calcium levels in metastatic calcification is,increased,decreased,normal,absent,A
SECTIONED SURFACE OF LUNG SHOWS BROWN INDURATION IN…..,PULMONARY EMBOLISM,"PULMONARY
HAEMORRHAGE",PULMPONARY INFARCTION,"Chronic venous congestion
of lung",D
SURAL NERVE BIOPSY IS DONE IN?,"FAMILIAL POLY
NEUROPATHY","PLASMA CELL
DYSCRASIASIS",KIDNEY BIOPSY,"TRANSMICIBLE
ENCEPHALOPATHY",A
WHICH IS THE SPACE OF DISSE?,VASCULAR SPACES,"BASEMENT MEMBRANES
OF BLOOD VESSELS","SPACE BETWEEN
HEPATOCYTES AND
SINUSOIDAL ENDOTHELIAL
CELLS",ALL OF THE ABOVE,C
"Ground Glass Appearance on radiograph during viral pneumonia corresponds to which of the following
pathohistological change",Focal lung atelectasis,obliterative bronchiloitis,"Disquamation of type - II
Pnuemocytes",Interstitial fibrosis,D
The most appropriate time to take blood cultures in Fever cases is,"60-90 min before rise of
fever",60 min after fever,30 min after fever,60-90 min after fever,B
Haemorrhage has clinical significance after blood loss of,5-10 % of blood volume,10-15 % of blood volume,1-3 % of blood volume,3-7 % of blood,B
,,,,,
Bilirubin is the degradation product of,Albumin,Globulin,Heme,Transferrin,C
There are 3 Morphologic types of cirrhosis except,Micronodular,Macronodular,Mixed,Biliary Cirrhosis,D
Most common etiologic factor for post Necrotic Cirrhosis is,Hepatitis B or C,Hepatitis A or B,Hepatitis A or C,Hepatitis D or E,A
Most common Primary malignant tumour of the liver is,"Hepato Cellular
Carcinoma",Hepatocellular Adenoma,Hepatoblastoma,Hepatoma,A
Barrett's Oesophagus is,"Lower oesophagus lined
by Columnar epithelium","Upper oesophagus lined
by Columnar epithelium","Lower Oesophagus lined
by Ciliated epithelium","Lower oesophagus lined
by Pseudostratified
epithelium",A
Pain-Food-Relief Pattern is seen in,Tuberculin ulcer,Gastric Ulcer,Duodenal Ulcer,Acute Gastritis,C
Common site for Crohn's disease,Colon,Rectum,Distal ileum & Colon,duodenum,C
Toxic megacolon is seen in,Ulcerative Colitis,Crohn's disease,Colonic diverticulosis,Hamartomatous polyp,A
The following cereals should be avoided in patients with celiac disease except,Wheat,Barley,Maize,Rye,C
Leading cause of Acute Pancreatitis is,Cholelithiasis,Hepatitis,"Cystic fibrosis of
Pancrease","Carcinoma of Gall
bladder",A
Most common site for pancreatic carcinoma is,Head,Ampulla,Body,Tail,A
Type of Necrosis seen in Acute Pancreatitis,Coagulative,Fat,Caceous,liquifactive.,B
CFTR gene involved in,"Cystic fibrosis of
Pancreas",Acute Pancreatitis,Chronic Pancreatitis,Pancreatic Pseudocyst,A
Which of the following is the most common endocrine tumour of Pancreas,Insulinoma,Gastrinoma,VIPoma,Glucagonoma,A
Excess of Growth hormone causes.,"Gigantism &
Acromegaly",Dwarfism,Panhypopituitarism,Cortical Adenoma,A
Conn's syndrome caused by oversecretion of,Glucocorticoid,Aldosterone,Growth Harmone,Thyroid Harmone,B
Cretinism occurs in,Only Male,Only Female,Childhood,Adulthood,C
Grave's disease is characterised by the following except,Hyperthyroidism,"Diffuse thyroid
enlargement",Ophthalamopathy,Granulomatous thyroiditis,D
Most common cause of Primary hyper Parathyroidism is-,Parathyroid adenomas,Hyper Calcaemia,Diabetes mellitus,Hypercalciuria,A
Islets of Langerhans are concentrated in the pancreas in the following Zone,Head,Body,Tail,Uncinate Process,C
Most common cause of Acute Pancreatitis is,Cholelithiasis,Hyper parathyroidism,Hyper lipidemia,Hyper calcemia,A
The Most common gross growth pattern on Gastric carcinoma is,Scirrhous,Fungating,Ulcerative,Colloid,C
Cobblestone appearance of mucosa is seen in,ulcerative colitis,amoebic colitis,bacillary dysentery,crohn’s disease,D
Most common complication of peptic ulcer disease is,perforation,Bleeding,obstruction,pain,B
Comonest cause of cirrhosis of liver is,haemochromatosis,chronic alcoholism,wilsons disease,glycogen storage disease,B
Peptic ulcer is mostly seen in patient with blood group,A,AB,B,O,D
Acute peptic ulcer seen in stomach in exclusive burns are known as,curlings ulcer,cushing ulcer,mayolins ulcer,rodent ulcer,A
serum amylase level is increased in _____ condition,appendicitis,pancreatitis,bronchitits,gastritis,B
Most common type of oesophageal carcinoma is,sqamous cell carcinoma,basal cell carcinoma,adenocarcinoma,adenosqamouscarcinoma,A
Haemolytic jaundice is seen in all except,"gallstone impacted in
bile duct",malariae,sickle cell anaemia,H. spherocytosis,A
HBA1C (glycosylated haemoglobin) gives an estimate of diabetic control of,90-120 days,120-140 days,30-60 days,40-75 days,A
which condition resembles with thyroid cancer due to stony hard consistency,Graves disease,Hashimoto's throiditis,De Quervain's thyroiditis,Riedel's disease,D
all of the following are macroscopic cardinal features of nodular goitre except,"nodularity with poor
encapsulation",fibrous scarring,complete encapsulation,cystic degeneartion,C
Psammo bodies are a characteristic of,papillary thyroid Ca,folicullar thyroid Ca,medullary thyroid Ca,anaplastic thyroid Ca,A
which hormone has greater rise in hyperthyroidism,T4,T3,TSH,NONE,B
non pitting oedema occurs in,cretinism,myxoedema,thyroiditis,goitre,B
which carcinoma comprise of 75-85% of all throid carcinomas,follicular,medullary,papillary,anaplastic,C
insulin is secreted by which pancreatic cells,alpha,beta,delta,F cells,B
insulin resistance is seen in,TYPE 1 DM,DIABETES INSIPIDUS,GESTATIONAL DIABETES,TYPE 2 DM,D
which of the following is not a late complication of diabets,diabetic retinopathy,atherosclerosis,diabetic nephropathy,diabetic ketoacidosis,D
,,,,,
Brown Induration of lungs is present in,Pulmonary tuberculosis,"Chronic venous
congestion of liver",Bronchiectasis,"Chronic venous
congestion of lung",D
Pneumothorax is condition where ____ is accumulated in pleural sac,Fluid,Air,Blood,none of above,B
Empyema means,"Presence of pus in the
lung","Prescence of pus in the
rib case",pus in the pleural cavity,"Prescence of pus in the
mediastinum",C
Caseous necrosis is hallmark of - - -,Streptococcal infection,Cholera,Tuberculosis,Leprosy,C
Pleurisy means,Inflammation of lung,Inflammation of pleura,"Inflammation of pleura
with exudation",Inflammation of bronchi,C
Langhan’s type of giant cells are characteristically seen in - - -,Tuberculosis,Sarcoidosis,Syphilis,Actinomycosis.,A
Inflammatory consolidation of lung is known as --------,Bronchitis,Pneumonitis,Pleurisy,Emphysema,B
Red Hepatization is seen in ---------,Bronchopnumonia,Cirrhosis of Liver,Lobar Pneumonia,Chronic Bronchitis,C
Consequences of pulmonary embolism is,acute cor pulmonal,pulmonary infarction,pulmonary haemorrhage,All of above,D
Pneumoconiosis is a type of ______ lung disesase,obstructive,atlelactasis,restrictive,infective,C
Stiff lung is seen in,bronchitis,emphysema,bronchiestasis,ARDS,D
ARDS is a type of ______ lung disesase,obstructive,atlelactasis,restrictive,infective,C
chronic bronchitis is also called as,pink puffers,blue bloaters,Atelectasis,stiff lung,B
On cut section of lung honeycombed appearance is seen in,bronchial asthama,lungabscess,bronchiactasis,bronchitis,C
Barrel shape chest is presentation of,Emphysema,Silicosis,Pleuritis,Scoliosis,A
Common cause of Chronic Bronchitis is,Mycoplasma,cigarette smoking,alcoholism,mining,B
leakage of air in pleural cavity is known as,Atelectasis,Pneumothorax,Hydrothorax,chylothorax,B
All are manifestation of Acute lung injury except,Acute onset of dyspnoea,"Decrease arteria; oxygen
pressure","Bilateral pulmonary
infiltrates","clinical evidence of Left
heart failure",D
All are obstructive disorders except,Emphysema,pneumonia,chronic bronchitis,Asthama,B
"is the term used for the dilatation of alveoli in response to loss of lung substance
elsewhere","Compensatory
Emphysema",Obstrutive emphysema,Bullous emphysema,Mediastinal emphysema,A
Atopic Asthama is associated with production of,IgE,IgG,IgD,IgA,A
are the key inflammatory cells found in all subtypes of Asthama,Platelets,Eosinophils,RBCs,Neutrophils,B
is characterised by coal Macules and some what larger Coal Nodule,Simple CWP,Anthracosis,Complicated CWP,Silicosis,A
is characterised by multiple intensely Blackened Scars larger than 2cm,Simple CWP,Anthracosis,Hydrothorax,Silicosis,C
Pneumonia infection is seen in Nosocomial Setting,"Pseudomonas
Aeroginosa",Legionella,Haemophilius influenza,Moraxella,A
Pulmonary embolism is a frequent complication of,Varicose veins,Thrombo phlebitis,Phlegmasia alba dolens,All of the above,B
Squamous metaplasia & dysplasia is a consequence of,Emphysema,Chronic bronchites,Both,None of the above,B
,,,,,
‘struvite stones’ is type of renal calculi are made of following except,calcium oxlate,ammonium,magnesium,Calcium posphate,A
Alport’s syndrome is,"X-linked reccesive
disorder","X-linked dominant
disorder",rare hereditary disease,autoimmune disease,B
Nephrotic syndrome is a constellation of features except,"massive proteinuria,",oedema,hypoalbuminaemia,polyuria,D
"Malignant hypertension, defined as blood pressure",> 200/120 mm Hg,>180/120mm Hg,>190/120 mm Hg,>150/120 mm Hg,A
flea-bitten appearance is seen in,Primary hypertension,secondary hypertension,Malignant hypertension,Resistant Hypertension,C
Goodpasture disease is,"Antibody–Mediated
Glomerulonephritis",Minimal-Change Disease,"Focal segmental
glomeruloscleros is",Membranous nephropathy,A
acute nephritic syndrome classically present with,hypertension,Hypoalbuminemi a,Hyperlipidemia,all of above,D
All are Primary Glomerular Diseases except,IgA nephropathy,C3 glomerulonephrit is,"Acute postinfectious
glomerulonephritis",Alport syndrome,D
in which of following subepithelial “humps” is seen electron microscopy,nephrotic syndrome,Poststreptococcal GN,IgA nephropathy,Alport syndrome,B
cystitis is,inflammation of blader,chronic renal cyst,simple renal cyst,inflammation of cyst,A
Most common tumour of Urinary Bladder is,"Squamous cell
carcinoma",Adenocarcinoma,"Transistitional cell
carcinaoma","Transistitional cell
Papilloma",C
which disease has rapid onset,acute renal failure,chronic renal failure,chronic kidney disease,glomerulonephrit is,A
all of the following are secondary uraemic manifestation except,anaemia,integumentary system,cardiovascular system,azotaemia,D
which of the following does not fall under primary glomerulonephritis,acute glomerulonephritis,lupus nephritis,membranous GN,"membrano proliferative
GN",B
the most common organism causing Acute diffese proliferative glomerulonephritis is,staphylococci,streptococci,salmonella,pseudomonas,B
hyalinised glomeruli on light microscopy is seen in,chronic GN,IgA nephropathy,focal GN,acue GN,A
most common organism causing UTI is,proteus,pseudomonas,klebsiella,Ecoli,D
which is not a non-infective tubulointerstitial disease,myeloma nephropathy,gout nephropathy,"tuberculous
pyelonephritis",balkan nephropathy,C
which of the following is not a cause of hereditary nephrotic syndrome,alport's syndrome,IgA nephropathy,fabry's disease,nail-patella syndrome,B
all the features are of nephritic syndrome except,hematuria,hypertension,hypercoagulabilit y,oliguria,C
,,,,,
"Painful, tender nodules on the finger tips of hands and feet called Osler’s nodes are seen in",rheumatic endocarditis,"Libman-Sacks
endocarditis","Non-bacterial thrombotic
endocarditis","Subacute bacterial
endocarditis",D
common casuses of chronic cor pulmonale,cystic fibrosis,chronic emphysema,pulmonary tuberculosis,all of the above,D
all are the causes of left sided heart failure except,Systemic hypertension,Cor pulmonale,Ischaemic heart disease,Restrictive pericarditis.,B
most common congenital anomaly of the heart,VSD,Tetralogy of fallot,ASD,Patent ductus arteriosus,A
CK-MM derived from,Brain,skeletal muscle,lung,cardiac muscles,B
which infarcts involving the full thickness of ventricular wall,septal wall infract,transmural infract,subendocardial,anterolateral wall infract,B
Anitschkow cells are present in RHD are derived from,Cardiac myocytes,"Endocardial smooth
muscle cells",Cardiac histiocytes,"endothelial cells of
lymphocytes",C
"As per revised WHO criteria (2004) based on revised Jones’ criteria following major criteria are for
diagnosis of RHD except",Fever,"Chorea (Sydenham’s
chorea)",Carditis,Polyarthritis,A
‘purse-string puckering’ seen in,mitral stenosis,mitral regurgitaion,aortic stenosis,aortic regurgitation,A
LÖEFFLER’S ENDOCARDITIS is characterized by,"peripheral blood
basophilia","peripheral blood
eosinophilia","peripheral blood
leucocytosis","peripheral blood
leucopenia",B
In early stagesleft sided heartfailure leads to,pulmonary congestion,systemic congestion,portal congestion,generalised oedema,A
Acute rheumatic fever is complication of URTI caused by,staph aureus,streptococcus pyogens,vibrio,neisseria,B
Nutmeg liver is seen in,Chronic alcoholism,CA liver,CVC liver,hepatitis,C
Cardiac amyloidosis often produces,Dilated cardiomyopathy,"restrictive
cardiomyopathy","hypertrophied
cardiomyopathy","ischaemic
cardiomyopathy",B
MacCallum’s patch is seen in:,. Right atrium,Right ventricle,Left atrium,Left ventricle,C
Acute cor pulmonale can occur as result of,Pulmonary embolism,mitral Stenosis,pulmonary hypertension,left heart failure,A
The most common cause of aortic aneurysm is,Mycotic,Atherosclerosis,Marfan’s syndrome,Trauma,B
left sided heart failure is produced by all except,systemic hypertension,"Pulmonary valvular
diseases",Mitral & Aortic diseases,Restrictive pericarditis,B
Myocardial Ischaemia Induces ………. type of necrosis,Caseous necrosis,Coagulative necrosis,Liquefactive necrosis,Fat necrosis,B
Anginal pain occurring following physical exertion & is relived by rest is….,unstable angina,"Prinzmetal’s Variant
angina",Stable angina,"Acute myocardial
infarction",C
the vessel most commonly involved in coronary atherosclerosis is,Left circum flex,Left Anterior Descending,Right Coronary,None of the above,B
Type of necrosis occuring in myocardial infarct,Caseous,Gangrenous,Coagulative,Liquifactive,C
Most common form of congenital heart disease is,ASD,VSD,PDA,Teralogy of fallot,B
Most commonly involved vessel in atherosclerosis is,Abdominal aorta,"Descending
thoracic aorta",Internal carotid,Popiliteal artery,A
Atheroma has most grave outcome due to the complication of,Calcification,Ulceration,"Super imposed
thrombosis",Hemorrhage,C
,,,,,
leptomeningitis includes,pia-dura,pia-arachnoid,arachnoid- dura,pia-arachnoid- dura,C
CSF examination in meningitis reveals all of the following except,turbid and purulent CSF,elevated CSF pressure,decreased protein level,decreased sugar level,C
cryptococcal meningitis occurs due to,fungus,bacteria,protozoa,virus,B
Most common portal of entry of infection to brain,Blood stream,Implantation,"Local extention from
contiguous structures","Peripheral nervous
system",A
